RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.4537879,37.34820161,164.14,253.35,89.21,402.8805848,0.006720005,78.69099969,597.9304984,205.34,390.58,137.23,181.7,37.72705255,127.14,245.9,0.377045967,-0.207623573
-88.16037671,38.0316117,172.33,249.15,76.82,402.9130137,0.002363366,60.87685426,371.6601175,241.65,411.74,162.59,188.24,16.0626775,111.75,224.42,0.154322825,-0.100006944
-87.86120717,25.46580171,193.23,265.88,72.65,273.2353613,-0.018837816,69.12865472,485.1790473,203.63,343.77,77.89,175,26.26427852,109.95,215.85,0.270720901,-0.170419101
-88.45320387,25.26944871,158.5,228,69.5,257.1289037,0.029939578,73.90538932,512.9588144,229.39,442.89,214.89,185.37,30.49194225,130.86,257.73,0.298569305,-0.159103894
-88.41922938,33.61399841,160.69,232.66,71.97,353.2312303,0.016925301,83.06463947,681.0509777,144.41,282.66,50,156.19,37.75597346,105.33,210.36,0.433996552,-0.25077792
-88.5887582,30.96265129,169.39,228.66,59.27,325.8571788,0.002271378,72.19356096,536.9104939,203.69,376.75,148.09,177.03,31.38181045,118.76,232.85,0.320853013,-0.184270842
-88.06454968,19.5984891,179.66,247.45,67.79,225.6363326,0.009600306,73.81488485,602.3066611,181.78,341.41,93.96,170.58,35.7513357,114.58,224.4,0.378063014,-0.219102017
-88.02255312,23.65155413,169.27,233.08,63.81,255.5236781,0.020912755,81.27454504,493.9804664,184.8,344.66,111.58,164.96,25.09542093,111.77,224.97,0.276397343,-0.15399414
-88.2398737,28.8690274,181.8,245.39,63.59,298.6226942,0.009514813,70.97118709,399.4235494,191.5,325.91,80.52,159.64,15.85273527,105.16,211.38,0.18293094,-0.105283361
-88.26420324,37.72699641,199.87,321.81,121.94,401.0191481,-0.006677335,65.89340363,385.2477089,224.81,381.54,59.73,170.75,15.63074117,117.93,230.37,0.169755798,-0.091671054
-88.14961896,36.2427138,151.78,229.85,78.07,380.3757981,0.052150311,68.31483712,381.310264,279.65,525.76,295.91,197.17,17.79814953,133,271.64,0.163154574,-0.089133714
-87.98577834,35.09638459,195.24,292.5,97.26,372.1627784,-0.055841958,62.73385739,453.3656851,249.88,416.71,124.21,197.63,25.96592456,121.09,233.21,0.236505715,-0.154368118
-88.52239686,29.87468531,187.18,273.61,86.43,314.4326622,-0.016658639,80.99213817,520.9599613,224.66,429.94,156.33,182.84,30.4457178,133.58,260.86,0.305204269,-0.157337004
-88.68989647,33.80011317,158.86,217.25,58.39,354.8774137,0.020205179,87.38850977,663.1381315,154.19,296.08,78.83,161.15,37.8819341,108.56,215.74,0.423178347,-0.244135498
-87.42461426,38.19016344,169.87,261.6,91.73,402.4980428,0.00265994,69.66057692,430.2284177,207.95,350.27,88.67,173.87,20.58327519,108.21,215.42,0.215168523,-0.134147679
-88.29741865,39.02974259,157.3,220.79,63.49,420.1983445,0.032874369,77.88713257,502.7229324,160.49,288.55,67.76,153.34,23.84668812,99.91,203.78,0.281733993,-0.165226946
-88.9348446,29.79642693,212.5,285.08,72.58,312.2236888,-0.070034084,83.90714036,623.1643915,174.52,337.25,52.17,167.74,36.41579421,119.75,232.27,0.393848396,-0.212001941
-88.08915285,38.74713371,140.13,228.36,88.23,421.7212964,0.076974345,74.65468631,448.5176476,251.32,481.85,253.49,189.99,24.31123772,133.38,267.85,0.232638016,-0.122435792
-88.31236815,33.04973459,182.13,250.19,68.06,339.1539058,-0.019487873,75.37228353,488.6189181,179.31,321,70.81,160.02,23.76922239,108.24,215.45,0.270351203,-0.153034556
-88.57725247,38.82689767,198.72,275.52,76.8,414.9508577,-0.014374964,67.18149552,383.2728766,212.43,343.71,68.19,167.62,15.22669167,110.55,216.47,0.167804986,-0.097574022
-87.24561594,28.39948486,184.45,271.23,86.78,296.6409988,0.01632675,72.87683486,418.1653453,168.33,293.32,22.09,148.86,16.15454173,100.21,203.97,0.199129252,-0.109817858
-88.5115915,24.77909845,176.62,233.59,56.97,265.1725804,0.009703545,75.74630007,513.8189564,161.26,301.92,68.33,153.36,24.54688733,103.41,209.48,0.290497578,-0.163338061
